timestamp,open,high,low,close,volume
2025-08-08,220.83,231.00,219.25,229.35,113696100
2025-08-07,218.88,220.85,216.58,220.03,90224800
2025-08-06,205.63,215.38,205.59,213.25,108483100
2025-08-05,203.40,205.34,202.16,202.92,44155100
2025-08-04,204.51,207.88,201.68,203.35,75109300
2025-08-01,210.87,213.58,201.50,202.38,104434500
2025-07-31,208.49,209.84,207.16,207.57,80698400
2025-07-30,211.90,212.39,207.72,209.05,45512500
2025-07-29,214.18,214.81,210.82,211.27,51411700
2025-07-28,214.03,214.85,213.06,214.05,37858000
2025-07-25,214.70,215.24,213.40,213.88,40268800
2025-07-24,213.90,215.69,213.53,213.76,46022600
2025-07-23,215.00,215.15,212.41,214.15,46989300
2025-07-22,213.14,214.95,212.23,214.40,46404100
2025-07-21,212.10,215.78,211.63,212.48,51377400
2025-07-18,210.87,211.79,209.70,211.18,48974600
2025-07-17,210.57,211.80,209.59,210.02,48068100
2025-07-16,210.30,212.40,208.64,210.16,47490500
2025-07-15,209.22,211.89,208.92,209.11,42296300
2025-07-14,209.93,210.91,207.54,208.62,38840100
2025-07-11,210.57,212.13,209.86,211.16,39765800
2025-07-10,210.51,213.48,210.03,212.41,44443600
2025-07-09,209.53,211.33,207.22,211.14,48749400
2025-07-08,210.10,211.43,208.45,210.01,42848900
2025-07-07,212.68,216.23,208.80,209.95,50229000
2025-07-03,212.15,214.65,211.81,213.55,34955800
2025-07-02,208.91,213.34,208.14,212.44,67941800
2025-07-01,206.67,210.19,206.14,207.82,78788900
2025-06-30,202.01,207.39,199.26,205.17,91912800
2025-06-27,201.89,203.22,200.00,201.08,73188600
2025-06-26,201.43,202.64,199.46,201.00,50799100
2025-06-25,201.45,203.67,200.62,201.56,39525700
2025-06-24,202.59,203.44,200.20,200.30,54064000
2025-06-23,201.63,202.30,198.96,201.50,55814300
2025-06-20,198.24,201.70,196.86,201.00,96813500
2025-06-18,195.94,197.57,195.07,196.58,45394700
2025-06-17,197.20,198.39,195.21,195.64,38856200
2025-06-16,197.30,198.69,196.56,198.42,43020700
2025-06-13,199.73,200.37,195.70,196.45,51447300
2025-06-12,199.08,199.68,197.36,199.20,43904600
2025-06-11,203.50,204.50,198.41,198.78,60989900
2025-06-10,200.60,204.35,200.57,202.67,54672600
2025-06-09,204.39,206.00,200.02,201.45,72862600
2025-06-06,203.00,205.70,202.05,203.92,46607700
2025-06-05,203.50,204.75,200.15,200.63,55126100
2025-06-04,202.91,206.24,202.10,202.82,43604000
2025-06-03,201.35,203.77,200.96,203.27,46381600
2025-06-02,200.28,202.13,200.12,201.70,35423300
2025-05-30,199.37,201.96,196.78,200.85,70819900
2025-05-29,203.58,203.81,198.51,199.95,51396800
2025-05-28,200.59,202.73,199.90,200.42,45339700
2025-05-27,198.30,200.74,197.43,200.21,56288500
2025-05-23,193.67,197.70,193.46,195.27,78432900
2025-05-22,200.71,202.75,199.70,201.36,46742400
2025-05-21,205.17,207.04,200.71,202.09,59211800
2025-05-20,207.67,208.47,205.03,206.86,42496600
2025-05-19,207.91,209.48,204.26,208.78,46140500
2025-05-16,212.36,212.57,209.77,211.26,54737900
2025-05-15,210.95,212.96,209.54,211.45,45029500
2025-05-14,212.43,213.94,210.58,212.33,49325800
2025-05-13,210.43,213.40,209.00,212.93,51909300
2025-05-12,210.97,211.27,206.75,210.79,63775800
2025-05-09,199.00,200.54,197.54,198.53,36453900
2025-05-08,197.72,200.05,194.68,197.49,50478900
2025-05-07,199.17,199.44,193.25,196.25,68536700
2025-05-06,198.21,200.65,197.02,198.51,51216500
2025-05-05,203.10,204.10,198.21,198.89,69018500
2025-05-02,206.09,206.99,202.16,205.35,101010600
2025-05-01,209.08,214.56,208.90,213.32,57365700
2025-04-30,209.30,213.58,206.67,212.50,52286500
2025-04-29,208.69,212.24,208.37,211.21,36827600
2025-04-28,210.00,211.50,207.46,210.14,38743100
2025-04-25,206.37,209.75,206.20,209.28,38222300
2025-04-24,204.89,208.83,202.94,208.37,47311000
2025-04-23,206.00,208.00,202.80,204.60,52929200
2025-04-22,196.12,201.59,195.97,199.74,52976400
2025-04-21,193.27,193.80,189.81,193.16,46742500
2025-04-17,197.20,198.83,194.42,196.98,52164700
2025-04-16,198.36,200.70,192.37,194.27,59732400
2025-04-15,201.86,203.51,199.80,202.14,51343900
2025-04-14,211.44,212.94,201.16,202.52,101352900
2025-04-11,186.10,199.54,186.06,198.15,87435900
2025-04-10,189.07,194.78,183.00,190.42,121880000
2025-04-09,171.95,200.61,171.89,198.85,184395900
2025-04-08,186.70,190.34,169.21,172.42,120859500
2025-04-07,177.20,194.15,174.62,181.46,160466300
2025-04-04,193.89,199.88,187.34,188.38,125910900
2025-04-03,205.54,207.49,201.25,203.19,103419000
2025-04-02,221.32,225.19,221.02,223.89,35905900
2025-04-01,219.81,223.68,218.90,223.19,36412700
2025-03-31,217.01,225.62,216.23,222.13,65299300
2025-03-28,221.67,223.81,217.68,217.90,39818600
2025-03-27,221.39,224.99,220.56,223.85,37094800
2025-03-26,223.51,225.02,220.47,221.53,34466100
2025-03-25,220.77,224.10,220.08,223.75,34493600
2025-03-24,221.00,221.48,218.58,220.73,44299500
2025-03-21,211.56,218.84,211.28,218.27,94127800
2025-03-20,213.99,217.49,212.22,214.10,48862900
2025-03-19,214.22,218.76,213.75,215.24,54385400
2025-03-18,214.16,215.15,211.49,212.69,42432400
2025-03-17,213.31,215.22,209.97,214.00,48073400
2025-03-14,211.25,213.95,209.58,213.49,60107600
2025-03-13,215.95,216.84,208.42,209.68,61368300
2025-03-12,220.14,221.75,214.91,216.98,62547500
2025-03-11,223.81,225.84,217.45,220.84,76137400
2025-03-10,235.54,236.16,224.22,227.48,72071200
2025-03-07,235.11,241.37,234.76,239.07,46273600
2025-03-06,234.44,237.86,233.16,235.33,45170400
2025-03-05,235.42,236.55,229.23,235.74,47227600
2025-03-04,237.71,240.07,234.68,235.93,53798100
2025-03-03,241.79,244.03,236.11,238.03,47184000
2025-02-28,236.95,242.09,230.20,241.84,56833400
2025-02-27,239.41,242.46,237.06,237.30,41153600
2025-02-26,244.33,244.98,239.13,240.36,44433600
2025-02-25,248.00,250.00,244.91,247.04,48013300
2025-02-24,244.93,248.86,244.42,247.10,51326400
2025-02-21,245.95,248.69,245.22,245.55,53197400
2025-02-20,244.94,246.78,244.29,245.83,32316900
2025-02-19,244.66,246.01,243.16,244.87,32204200
2025-02-18,244.15,245.18,241.84,244.47,48822500
2025-02-14,241.25,245.55,240.99,244.60,40896200
2025-02-13,236.91,242.34,235.57,241.53,53614100
2025-02-12,231.20,236.96,230.68,236.87,45243300
2025-02-11,228.20,235.23,228.13,232.62,53718400
2025-02-10,229.57,230.59,227.20,227.65,33115600
2025-02-07,232.60,234.00,227.26,227.63,39707200
2025-02-06,231.29,233.80,230.43,233.22,29925300
2025-02-05,228.53,232.67,228.27,232.47,39620300
2025-02-04,227.25,233.13,226.65,232.80,45067300
2025-02-03,229.99,231.83,225.70,228.01,73063300
2025-01-31,247.19,247.19,233.44,236.00,100959800
2025-01-30,238.67,240.79,237.21,237.59,55658300
2025-01-29,234.12,239.86,234.01,239.36,45486100
2025-01-28,230.85,240.19,230.81,238.26,75707600
2025-01-27,224.02,232.15,223.98,229.86,94863400
2025-01-24,224.78,225.63,221.41,222.78,54697900
2025-01-23,224.74,227.03,222.30,223.66,60234800
2025-01-22,219.79,224.12,219.79,223.83,64126500
2025-01-21,224.00,224.42,219.38,222.64,98070400
2025-01-17,232.12,232.29,228.48,229.98,68488300
2025-01-16,237.35,238.01,228.03,228.26,71759100
2025-01-15,234.64,238.96,234.43,237.87,39832000
